Date, Adj Close 
17/01/2019,23.15
18/01/2019,20.15
22/01/2019,19.93
23/01/2019,19.17
24/01/2019,19.43
25/01/2019,19.8
28/01/2019,19.76
29/01/2019,19.83
30/01/2019,20.58
31/01/2019,20.47
01/02/2019,20.81
04/02/2019,20.86
05/02/2019,21.42
06/02/2019,21.15
07/02/2019,20.5
08/02/2019,20.39
11/02/2019,20.86
12/02/2019,20.79
13/02/2019,20.54
14/02/2019,20.25
15/02/2019,20.53
19/02/2019,20.38
20/02/2019,20.17
21/02/2019,19.42
22/02/2019,19.65
25/02/2019,19.92
26/02/2019,19.86
27/02/2019,20.98
28/02/2019,21.33
01/03/2019,19.65
04/03/2019,19.02
05/03/2019,18.44
06/03/2019,18.42
07/03/2019,18.44
08/03/2019,18.94
11/03/2019,19.39
12/03/2019,18.89
13/03/2019,19.26
14/03/2019,19.33
15/03/2019,18.36
18/03/2019,17.97
19/03/2019,17.83
20/03/2019,18.24
21/03/2019,18.27
22/03/2019,17.64
25/03/2019,17.36
26/03/2019,17.85
27/03/2019,18.32
28/03/2019,18.57
29/03/2019,18.66
01/04/2019,19.28
02/04/2019,19.06
03/04/2019,19.45
04/04/2019,17.85
05/04/2019,18.33
08/04/2019,18.21
09/04/2019,18.15
10/04/2019,18.4
11/04/2019,17.89
12/04/2019,17.85
15/04/2019,17.76
16/04/2019,18.22
17/04/2019,18.08
18/04/2019,18.22
22/04/2019,17.52
23/04/2019,17.59
24/04/2019,17.24
25/04/2019,16.51
26/04/2019,15.68
29/04/2019,16.1
30/04/2019,15.91
01/05/2019,15.6
02/05/2019,16.27
03/05/2019,17
06/05/2019,17.02
07/05/2019,16.47
08/05/2019,16.32
09/05/2019,16.13
10/05/2019,15.97
13/05/2019,15.13
14/05/2019,15.49
15/05/2019,15.46
16/05/2019,15.22
17/05/2019,14.07
20/05/2019,13.69
21/05/2019,13.67
22/05/2019,12.85
23/05/2019,13.03
24/05/2019,12.71
28/05/2019,12.58
29/05/2019,12.66
30/05/2019,12.55
31/05/2019,12.34
03/06/2019,11.93
04/06/2019,12.91
05/06/2019,13.11
06/06/2019,13.73
07/06/2019,13.63
10/06/2019,14.19
11/06/2019,14.47
12/06/2019,13.95
13/06/2019,14.26
14/06/2019,14.33
17/06/2019,15
18/06/2019,14.98
19/06/2019,15.1
20/06/2019,14.64
21/06/2019,14.79
24/06/2019,14.91
25/06/2019,14.65
26/06/2019,14.62
27/06/2019,14.86
28/06/2019,14.9
01/07/2019,15.14
02/07/2019,14.97
03/07/2019,15.66
05/07/2019,15.54
08/07/2019,15.36
09/07/2019,15.34
10/07/2019,15.93
11/07/2019,15.91
12/07/2019,16.34
15/07/2019,16.9
16/07/2019,16.83
17/07/2019,16.99
18/07/2019,16.9
19/07/2019,17.21
22/07/2019,17.05
23/07/2019,17.34
24/07/2019,17.66
25/07/2019,15.25
26/07/2019,15.2
29/07/2019,15.72
30/07/2019,16.15
31/07/2019,16.11
01/08/2019,15.59
02/08/2019,15.62
05/08/2019,15.22
06/08/2019,15.38
07/08/2019,15.56
08/08/2019,15.89
09/08/2019,15.67
12/08/2019,15.27
13/08/2019,15.67
14/08/2019,14.64
15/08/2019,14.38
16/08/2019,14.66
19/08/2019,15.12
20/08/2019,15.06
21/08/2019,14.72
22/08/2019,14.81
23/08/2019,14.09
26/08/2019,14.33
27/08/2019,14.27
28/08/2019,14.37
29/08/2019,14.78
30/08/2019,15.04
03/09/2019,15
04/09/2019,14.71
05/09/2019,15.31
06/09/2019,15.16
09/09/2019,15.45
10/09/2019,15.7
11/09/2019,16.47
12/09/2019,16.39
13/09/2019,16.35
16/09/2019,16.19
17/09/2019,16.32
18/09/2019,16.23
19/09/2019,16.44
20/09/2019,16.04
23/09/2019,16.08
24/09/2019,14.88
25/09/2019,15.25
26/09/2019,16.17
27/09/2019,16.14
30/09/2019,16.06
01/10/2019,16.31
02/10/2019,16.21
03/10/2019,15.54
04/10/2019,15.43
07/10/2019,15.85
08/10/2019,16
09/10/2019,16.3
10/10/2019,16.32
11/10/2019,16.53
14/10/2019,17.13
15/10/2019,17.19
16/10/2019,17.32
17/10/2019,17.46
18/10/2019,17.13
21/10/2019,16.9
22/10/2019,17.04
23/10/2019,16.98
24/10/2019,19.98
25/10/2019,21.88
28/10/2019,21.85
29/10/2019,21.08
30/10/2019,21
31/10/2019,20.99
01/11/2019,20.89
04/11/2019,21.16
05/11/2019,21.15
06/11/2019,21.77
07/11/2019,22.37
08/11/2019,22.48
11/11/2019,23.01
12/11/2019,23.33
13/11/2019,23.07
14/11/2019,23.29
15/11/2019,23.48
18/11/2019,23.33
19/11/2019,23.97
20/11/2019,23.48
21/11/2019,23.66
22/11/2019,22.2
25/11/2019,22.42
26/11/2019,21.93
27/11/2019,22.09
29/11/2019,22
02/12/2019,22.32
03/12/2019,22.41
04/12/2019,22.2
05/12/2019,22.02
06/12/2019,22.39
09/12/2019,22.64
10/12/2019,23.26
11/12/2019,23.51
12/12/2019,23.98
13/12/2019,23.89
16/12/2019,25.43
17/12/2019,25.27
18/12/2019,26.21
19/12/2019,26.94
20/12/2019,27.04
23/12/2019,27.95
24/12/2019,28.35
26/12/2019,28.73
27/12/2019,28.69
30/12/2019,27.65
31/12/2019,27.89
02/01/2020,28.68
03/01/2020,29.53
06/01/2020,30.1
07/01/2020,31.27
08/01/2020,32.81
09/01/2020,32.09
10/01/2020,31.88
13/01/2020,34.99
14/01/2020,35.86
15/01/2020,34.57
16/01/2020,34.23
17/01/2020,34.03
21/01/2020,36.48
22/01/2020,37.97
23/01/2020,38.15
24/01/2020,37.65
27/01/2020,37.2
28/01/2020,37.79
29/01/2020,38.73
30/01/2020,42.72
31/01/2020,43.37
03/02/2020,52
04/02/2020,59.14
05/02/2020,48.98
06/02/2020,49.93
07/02/2020,49.87
10/02/2020,51.42
11/02/2020,51.63
12/02/2020,51.15
13/02/2020,53.6
14/02/2020,53.34
18/02/2020,57.23
19/02/2020,61.16
20/02/2020,59.96
21/02/2020,60.07
24/02/2020,55.59
25/02/2020,53.33
26/02/2020,51.92
27/02/2020,45.27
28/02/2020,44.53
02/03/2020,49.57
03/03/2020,49.7
04/03/2020,49.97
05/03/2020,48.3
06/03/2020,46.9
09/03/2020,40.53
10/03/2020,43.02
11/03/2020,42.28
12/03/2020,37.37
13/03/2020,36.44
16/03/2020,29.67
17/03/2020,28.68
18/03/2020,24.08
19/03/2020,28.51
20/03/2020,28.5
23/03/2020,28.95
24/03/2020,33.67
25/03/2020,35.95
26/03/2020,35.21
27/03/2020,34.29
30/03/2020,33.48
31/03/2020,34.93
01/04/2020,32.1
02/04/2020,30.3
03/04/2020,32
06/04/2020,34.42
07/04/2020,36.36
08/04/2020,36.59
09/04/2020,38.2
13/04/2020,43.4
14/04/2020,47.33
15/04/2020,48.66
16/04/2020,49.68
17/04/2020,50.26
20/04/2020,49.76
21/04/2020,45.78
22/04/2020,48.81
23/04/2020,47.04
24/04/2020,48.34
27/04/2020,53.25
28/04/2020,51.27
29/04/2020,53.37
30/04/2020,52.13
01/05/2020,46.75
04/05/2020,50.75
05/05/2020,51.21
06/05/2020,52.17
07/05/2020,52
08/05/2020,54.63
11/05/2020,54.09
12/05/2020,53.96
13/05/2020,52.73
14/05/2020,53.56
15/05/2020,53.28
18/05/2020,54.24
19/05/2020,53.87
20/05/2020,54.37
21/05/2020,55.17
22/05/2020,54.46
26/05/2020,54.59
27/05/2020,54.68
28/05/2020,53.72
29/05/2020,55.67
01/06/2020,59.87
