Date, Open , High , Low , Close , Adj_Close , Volume 
07/05/2021, 221.93 , 230.00 , 220.07 , 224.12 , 224.12 ," 70,407,600.00 "
10/05/2021, 221.63 , 221.68 , 209.20 , 209.68 , 209.68 ," 94,177,200.00 "
11/05/2021, 199.75 , 209.03 , 198.53 , 205.73 , 205.73 ," 139,511,700.00 "
12/05/2021, 200.83 , 206.80 , 195.59 , 196.63 , 196.63 ," 101,470,800.00 "
13/05/2021, 200.51 , 202.15 , 186.55 , 190.56 , 190.56 ," 132,554,700.00 "
14/05/2021, 194.47 , 197.62 , 190.15 , 196.58 , 196.58 ," 100,112,700.00 "
17/05/2021, 191.85 , 196.58 , 187.07 , 192.28 , 192.28 ," 97,171,200.00 "
18/05/2021, 189.33 , 198.75 , 187.79 , 192.62 , 192.62 ," 110,491,800.00 "
19/05/2021, 184.18 , 188.74 , 182.33 , 187.82 , 187.82 ," 118,735,200.00 "
20/05/2021, 191.67 , 196.28 , 190.36 , 195.59 , 195.59 ," 92,463,300.00 "
21/05/2021, 198.70 , 198.89 , 193.33 , 193.63 , 193.63 ," 78,091,800.00 "
24/05/2021, 193.87 , 204.83 , 191.22 , 202.15 , 202.15 ," 103,674,300.00 "
25/05/2021, 202.44 , 204.66 , 198.57 , 201.56 , 201.56 ," 84,017,700.00 "
26/05/2021, 202.52 , 208.72 , 200.50 , 206.38 , 206.38 ," 85,917,900.00 "
27/05/2021, 206.75 , 210.38 , 205.40 , 210.28 , 210.28 ," 79,111,800.00 "
28/05/2021, 209.50 , 211.86 , 207.46 , 208.41 , 208.41 ," 68,211,000.00 "
01/06/2021, 209.27 , 211.27 , 206.85 , 207.97 , 207.97 ," 54,254,700.00 "
02/06/2021, 206.71 , 207.79 , 199.71 , 201.71 , 201.71 ," 69,908,400.00 "
03/06/2021, 200.60 , 201.52 , 190.41 , 190.95 , 190.95 ," 90,335,700.00 "
04/06/2021, 193.24 , 200.20 , 192.40 , 199.68 , 199.68 ," 72,110,700.00 "
07/06/2021, 197.28 , 203.33 , 194.29 , 201.71 , 201.71 ," 67,631,100.00 "
08/06/2021, 207.67 , 207.70 , 198.50 , 201.20 , 201.20 ," 78,160,200.00 "
09/06/2021, 200.72 , 203.93 , 199.21 , 199.59 , 199.59 ," 49,753,800.00 "
10/06/2021, 201.29 , 205.53 , 200.17 , 203.37 , 203.37 ," 71,758,800.00 "
11/06/2021, 203.41 , 204.19 , 200.51 , 203.30 , 203.30 ," 48,615,900.00 "
14/06/2021, 204.08 , 208.50 , 203.06 , 205.90 , 205.90 ," 61,272,000.00 "
15/06/2021, 205.56 , 205.60 , 199.41 , 199.79 , 199.79 ," 53,292,300.00 "
16/06/2021, 199.18 , 202.83 , 197.83 , 201.62 , 201.62 ," 66,432,300.00 "
17/06/2021, 200.63 , 207.16 , 200.45 , 205.53 , 205.53 ," 68,104,200.00 "
18/06/2021, 204.46 , 209.45 , 203.93 , 207.77 , 207.77 ," 73,682,700.00 "
21/06/2021, 208.16 , 210.46 , 202.96 , 206.94 , 206.94 ," 74,438,100.00 "
22/06/2021, 206.08 , 209.52 , 205.17 , 207.90 , 207.90 ," 57,476,700.00 "
23/06/2021, 210.67 , 219.07 , 210.01 , 218.86 , 218.86 ," 93,297,600.00 "
24/06/2021, 225.00 , 232.54 , 222.54 , 226.61 , 226.61 ," 137,947,200.00 "
25/06/2021, 229.86 , 231.27 , 222.90 , 223.96 , 223.96 ," 97,490,100.00 "
28/06/2021, 223.88 , 231.57 , 223.44 , 229.57 , 229.57 ," 64,884,600.00 "
29/06/2021, 228.22 , 229.17 , 225.30 , 226.92 , 226.92 ," 52,143,900.00 "
30/06/2021, 226.59 , 230.94 , 226.05 , 226.57 , 226.57 ," 56,774,700.00 "
01/07/2021, 227.97 , 229.33 , 224.27 , 225.97 , 225.97 ," 55,903,500.00 "
02/07/2021, 226.33 , 233.33 , 224.42 , 226.30 , 226.30 ," 81,163,500.00 "
06/07/2021, 227.24 , 228.00 , 217.13 , 219.86 , 219.86 ," 69,853,500.00 "
07/07/2021, 221.42 , 221.90 , 212.77 , 214.88 , 214.88 ," 56,376,000.00 "
08/07/2021, 209.46 , 218.14 , 206.82 , 217.60 , 217.60 ," 68,319,900.00 "
09/07/2021, 217.73 , 219.64 , 214.90 , 218.98 , 218.98 ," 54,421,500.00 "
12/07/2021, 220.73 , 229.08 , 220.72 , 228.57 , 228.57 ," 77,781,000.00 "
13/07/2021, 228.77 , 231.09 , 222.10 , 222.85 , 222.85 ," 62,898,300.00 "
14/07/2021, 223.58 , 226.20 , 217.61 , 217.79 , 217.79 ," 64,923,600.00 "
15/07/2021, 219.46 , 222.05 , 212.63 , 216.87 , 216.87 ," 60,628,800.00 "
16/07/2021, 218.23 , 218.90 , 214.07 , 214.74 , 214.74 ," 49,113,000.00 "
19/07/2021, 209.96 , 215.73 , 207.10 , 215.41 , 215.41 ," 63,891,300.00 "
20/07/2021, 217.33 , 220.80 , 213.50 , 220.17 , 220.17 ," 46,461,300.00 "
21/07/2021, 219.87 , 221.62 , 216.76 , 218.43 , 218.43 ," 41,859,900.00 "
22/07/2021, 218.81 , 220.72 , 214.87 , 216.42 , 216.42 ," 45,317,100.00 "
23/07/2021, 215.45 , 216.27 , 212.43 , 214.46 , 214.46 ," 43,814,700.00 "
26/07/2021, 216.99 , 222.73 , 215.70 , 219.21 , 219.21 ," 76,009,800.00 "
27/07/2021, 221.13 , 222.17 , 209.08 , 214.93 , 214.93 ," 98,439,900.00 "
28/07/2021, 215.67 , 218.32 , 213.13 , 215.66 , 215.66 ," 48,019,800.00 "
29/07/2021, 216.60 , 227.90 , 216.27 , 225.78 , 225.78 ," 91,183,800.00 "
30/07/2021, 223.92 , 232.51 , 223.00 , 229.07 , 229.07 ," 88,969,200.00 "
02/08/2021, 233.33 , 242.31 , 232.80 , 236.56 , 236.56 ," 100,847,400.00 "
03/08/2021, 239.67 , 240.88 , 233.67 , 236.58 , 236.58 ," 64,860,900.00 "
04/08/2021, 237.00 , 241.63 , 236.31 , 236.97 , 236.97 ," 51,007,800.00 "
05/08/2021, 238.67 , 240.32 , 237.14 , 238.21 , 238.21 ," 38,758,800.00 "
06/08/2021, 237.30 , 238.78 , 232.54 , 233.03 , 233.03 ," 46,869,000.00 "
09/08/2021, 236.72 , 239.68 , 235.04 , 237.92 , 237.92 ," 44,145,900.00 "
10/08/2021, 238.00 , 238.86 , 233.96 , 236.66 , 236.66 ," 40,296,900.00 "
11/08/2021, 237.57 , 238.39 , 234.74 , 235.94 , 235.94 ," 29,401,800.00 "
12/08/2021, 235.45 , 240.93 , 233.13 , 240.75 , 240.75 ," 52,377,300.00 "
13/08/2021, 241.24 , 243.30 , 238.11 , 239.06 , 239.06 ," 50,194,500.00 "
16/08/2021, 235.02 , 236.50 , 225.47 , 228.72 , 228.72 ," 68,032,200.00 "
17/08/2021, 224.22 , 224.86 , 216.28 , 221.90 , 221.90 ," 71,163,900.00 "
18/08/2021, 223.25 , 231.92 , 223.12 , 229.66 , 229.66 ," 61,048,200.00 "
19/08/2021, 226.07 , 228.85 , 222.53 , 224.49 , 224.49 ," 42,940,500.00 "
20/08/2021, 227.62 , 230.71 , 224.57 , 226.75 , 226.75 ," 44,525,700.00 "
23/08/2021, 228.48 , 237.38 , 226.92 , 235.43 , 235.43 ," 60,794,700.00 "
24/08/2021, 236.89 , 238.41 , 234.21 , 236.16 , 236.16 ," 39,249,300.00 "
